Arizona Diamondbacks,Chase Field,48686,"Phoenix, Arizona",Grass,National,1998,407,Retro Modern,Retractable
Atlanta Braves,Sun Trust Park,41149,"Cumberland, Georgia",Grass,National,2017,400,Retro Modern,Open
Baltimore Orioles,Oriole Park at Camden Yards,45971,"Baltimore, Maryland",Grass,American,1992,410,Retro Classic,Open
Boston Red Sox,Fenway Park,37731,"Boston, Massachusetts",Grass,American,1912,420,Jewel Box,Open
Chicago Cubs,Wrigley Field,41268,"Chicago, Illinois",Grass,National,1914,400,Jewel Box,Open
Chicago White Sox,Guaranteed Rate Field,40615,"Chicago, Illinois",Grass,American,1991,400,Retro Classic,Open
Cincinnati Reds,Great American Ball Park,42319,"Cincinnati, Ohio",Grass,National,2003,404,Retro Modern,Open
Cleveland Indians,Progressive Field,35051,"Cleveland, Ohio",Grass,American,1994,410,Retro Modern,Open
Colorado Rockies,Coors Field,50398,"Denver, Colorado",Grass,National,1995,415,Retro Classic,Open
Detroit Tigers,Comerica Park,41299,"Detroit, Michigan",Grass,American,2000,420,Retro Classic,Open
Houston Astros,Minute Maid Park,41168,"Houston, Texas",Grass,American,2000,409,Retro Modern,Retractable
Kansas City Royals,Kauffman Stadium,37903,"Kansas City, Missouri",Grass,American,1973,410,Retro Modern,Open
Los Angeles Angels,Angel Stadium,45477,"Anaheim, California",Grass,American,1966,396,Retro Modern,Open
Los Angeles Dodgers,Dodger Stadium,56000,"Los Angeles, California",Grass,National,1962,400,Modern,Open
Miami Marlins,Marlins Park,36742,"Miami, Florida",Grass,National,2012,407,Contemporary,Retractable
Milwaukee Brewers,Miller Park,41900,"Milwaukee, Wisconsin",Grass,National,2001,400,Retro Modern,Retractable
Minnesota Twins,Target Field,38885,"Minneapolis, Minnesota",Grass,American,2010,404,Retro Modern,Open
New York Mets,Citi Field,41922,"Queens, New York",Grass,National,2009,408,Retro Classic,Open
New York Yankees,Yankee Stadium,47422,"Bronx, New York",Grass,American,2009,408,Retro Classic,Open
Oakland Athletics,Oakland Alameda County Coliseum,47170,"Oakland, California",Grass,American,1966,400,Multipurpose,Open
Philadelphia Phillies,Citizens Bank Park,43651,"Philadelphia, Pennsylvania",Grass,National,2004,401,Retro Classic,Open
Pittsburgh Pirates,PNC Park,38362,"Pittsburgh, Pennsylvania",Grass,National,2001,399,Retro Classic,Open
San Diego Padres,Petco Park,40209,"San Diego, California",Grass,National,2004,396,Retro Modern,Open
San Francisco Giants,AT&T Park,41915,"San Francisco, California",Grass,National,2000,399,Retro Classic,Open
Seattle Mariners,Safeco Field,47943,"Seattle, Washington",Grass,American,1999,401,Retro Modern,Retractable
St. Louis Cardinals,Busch Stadium,45529,"St. Louis, Missouri",Grass,National,2006,400,Retro Classic,Open
Tampa Bay Rays,Tropicana Field,31042,"St. Petersburg, Florida",AstroTurf GameDay Grass,American,1990,404,Multipurpose,Fixed
Texas Rangers,Globe Life Park in Arlington,48114,"Arlington, Texas",Grass,American,1994,400,Retro Classic,Open
Toronto Blue Jays,Rogers Centre,49282,"Toronto, Ontario",AstroTurf GameDay Grass 3D,American,1989,400,Multipurpose,Retractable
Washington Nationals,Nationals Park,41339,"Washington, D.C.",Grass,National,2008,402,Retro Modern,Open
Las Vegas Gamblers,Las Vegas Stadium,41111,"Las Vegas, Nevada",Grass,National,2018,400,Retro Modern,Open
